_id,ltable_id,rtable_id,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,gold
14130,3038,732,Thinking About You ( feat . Ayah Marar ),Calvin Harris,18 Months,"Dance , Music , House , Rock , Electronic",$ 1.29,2012 Sony Music Entertainment UK under exclusive license to Ultra Music / Roc Nation / Columbia Records,4:07,30-Oct-12,Thinking About You,Calvin Harris,18 Months [ Explicit ],Dance & Electronic,$ 1.29,( C ) 1995 Mercury Records Limited,4:07,"October 30 , 2012",0
27991,2333,1222,Ai n't Back Yet,Kenny Chesney,Greatest Hits II,"Country , Music , Urban Cowboy , Contemporary Country",$ 1.29,2010 Sony Music Entertainment,3:59,1-Mar-10,"Ruby , Do n't Take Your Love To Town",Kenny Rogers,49 All Time Greatest Hits,"Country , Traditional Country , Cowboy",$ 0.89,( c ) 2008 Goldenlane Records,2:55,"August 1 , 2008",0
28317,2477,1226,Because of Your Love,Kenny Chesney,Greatest Hits,"Country , Music , Contemporary Country , Urban Cowboy",$ 0.99,2000 BMG Entertainment,4:16,26-Sep-00,Last Few Threads Of Love,Kenny Rogers,49 All Time Greatest Hits,"Country , Traditional Country , Cowboy",$ 0.89,( c ) 2008 Goldenlane Records,2:23,"August 1 , 2008",0
124669,1323,4271,Maps for the Getaway,Andrew McMahon In the Wilderness,Andrew McMahon In the Wilderness,"Alternative , Music , Rock , Pop , Pop/Rock , Electronic , Adult Alternative",$ 1.29,"2014 Vanguard Records , a Welk Music Group Company",3:57,14-Oct-14,Cecilia And The Satellite,Andrew McMahon in the Wilderness,Andrew McMahon In The Wilderness,Pop,$ 0.99,"( C ) 2014 Vanguard Records , a Welk Music Group Company",3:43,"October 14 , 2014",0
128185,5735,4479,Confession,Florida Georgia Line,Anything Goes,"Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",$ 1.29,"‰ ãÑ 2014 Big Machine Label Group , LLC",3:11,14-Oct-14,Confession,Florida Georgia Line,Anything Goes,Country,$ 1.29,"( C ) 2014 Republic Records , a Division of UMG Recordings , Inc. ( Republic Nashville )",3:10,"October 14 , 2014",0
128207,5733,4481,Bumpin ' the Night,Florida Georgia Line,Anything Goes,"Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",$ 1.29,"‰ ãÑ 2014 Big Machine Label Group , LLC",3:42,14-Oct-14,Every Night,Florida Georgia Line,Anything Goes,Country,$ 1.29,"( C ) 2014 Republic Records , a Division of UMG Recordings , Inc. ( Republic Nashville )",3:06,"October 14 , 2014",0
128447,5733,4501,Bumpin ' the Night,Florida Georgia Line,Anything Goes,"Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",$ 1.29,"‰ ãÑ 2014 Big Machine Label Group , LLC",3:42,14-Oct-14,Bumpin ' The Night,Florida Georgia Line,Anything Goes,Country,$ 1.29,"( C ) 2014 Republic Records , a Division of UMG Recordings , Inc. ( Republic Nashville )",3:41,"October 14 , 2014",0
154747,6116,5080,Who 's the Artist ?,Danny Elfman,Big Eyes ( Music from the Original Motion Picture ),"Soundtrack , Music",$ 1.29,‰ ãÑ 2014 Interscope Records,2:56,23-Dec-14,The Farm,Brian Tyler and Danny Elfman,Avengers : Age of Ultron ( Original Motion Picture Soundtrack ),Soundtracks,$ 1.29,( C ) 2015 MARVEL,1:14,"April 28 , 2015",0
220678,2330,6094,Old Blue Chair ( Acoustic Version ),Kenny Chesney,Be As You Are,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29,2004 BMG Music,3:31,7-Jan-05,Old Blue Chair,Kenny Chesney,Be As You Are,Country,$ 1.29,"2011 Columbia Pictures Industries , Inc",3:24,"January 24 , 2005",0
242486,6166,6362,Love Is the Drug,Bryan Ferry & The Bryan Ferry Orchestra,The Great Gatsby ( Music from Baz Luhrmann 's Film ) [ Deluxe Edition ],"Soundtrack , Music , Classical , Soundtrack",$ 1.29,‰ ãÑ 2013 Interscope Records,2:41,7-May-13,The Dreams Of Candlelight,Trans-Siberian Orchestra,Beethoven 's Last Night ( Deluxe ),Rock,$ 1.29,2011 N-House Music Group,4:05,"March 13 , 2012",0
